"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2022991127715",2022,"991127715",327479,671266,-3.162238,55.928973,"Police Scotland","Serious",1,3,2022-01-01,"Saturday",12:05:00,NA,"S12000036","S12000036","A",NA,"Roundabout",20,"Roundabout","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-01-01 12:05:00
"2022991127756",2022,"991127756",256390,667643,-4.297283,55.880466,"Police Scotland","Serious",1,1,2022-01-01,"Saturday",00:50:00,NA,"S12000049","S12000049","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2022-01-01 00:50:00
"2022991128016",2022,"991128016",210016,580912,-4.978253,55.08617,"Police Scotland","Serious",1,1,2022-01-03,"Monday",22:28:00,NA,"S12000028","S12000028","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","Yes","Data missing or out of range","-1",2022-01-03 22:28:00
"2022991128176",2022,"991128176",254523,664030,-4.325161,55.84747,"Police Scotland","Slight",3,2,2022-01-04,"Tuesday",12:55:00,NA,"S12000049","S12000049","A",NA,"Dual carriageway",30,"More than 4 arms (not roundabout)","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-01-04 12:55:00
"2022991128344",2022,"991128344",273933,848645,-4.105931,57.510387,"Police Scotland","Serious",1,1,2022-03-31,"Thursday",21:50:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-03-31 21:50:00
"2022991128708",2022,"991128708",196657,694819,-5.271219,56.102736,"Police Scotland","Slight",1,1,2022-01-04,"Tuesday",17:00:00,NA,"S12000035","S12000035","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Snowing + high winds","Snow","None","Pedestrian in carriageway - not injured","Rural","Yes","Data missing or out of range","-1",2022-01-04 17:00:00
"2022991128716",2022,"991128716",275638,653082,-3.98315,55.755071,"Police Scotland","Serious",1,2,2022-01-05,"Wednesday",14:00:00,NA,"S12000029","S12000029","A",NA,"Single carriageway",50,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","No","Data missing or out of range","-1",2022-01-05 14:00:00
"2022991128817",2022,"991128817",230176,781028,-4.789277,56.889427,"Police Scotland","Serious",1,1,2022-01-04,"Tuesday",16:36:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Snowing no high winds","Snow","None","None","Rural","Yes","Data missing or out of range","-1",2022-01-04 16:36:00
"2022991128902",2022,"991128902",248600,630643,-4.401217,55.545927,"Police Scotland","Slight",2,1,2022-01-06,"Thursday",07:25:00,NA,"S12000008","S12000008","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-01-06 07:25:00
"2022991128944",2022,"991128944",282363,656086,-3.877356,55.78373,"Police Scotland","Slight",1,1,2022-01-06,"Thursday",08:25:00,NA,"S12000050","S12000050","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2022-01-06 08:25:00
"2022991128983",2022,"991128983",267908,664385,-4.111718,55.854511,"Police Scotland","Slight",3,1,2022-01-06,"Thursday",08:45:00,NA,"S12000049","S12000049","A",NA,"Dual carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2022-01-06 08:45:00
"2022991129066",2022,"991129066",250744,651869,-4.378795,55.737144,"Police Scotland","Slight",2,1,2022-01-06,"Thursday",09:10:00,NA,"S12000011","S12000011","A",NA,"Single carriageway",60,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining + high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-01-06 09:10:00
"2022991129597",2022,"991129597",367007,755801,-2.540282,56.692766,"Police Scotland","Slight",2,1,2022-01-07,"Friday",16:50:00,NA,"S12000041","S12000041","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","Yes","Data missing or out of range","-1",2022-01-07 16:50:00
"2022991129617",2022,"991129617",342805,726521,-2.928907,56.427412,"Police Scotland","Serious",3,2,2022-01-07,"Friday",16:48:00,NA,"S12000047","S12000047","A",NA,"Single carriageway",40,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-01-07 16:48:00
"2022991129628",2022,"991129628",262490,664623,-4.19832,55.855132,"Police Scotland","Slight",1,1,2022-01-07,"Friday",16:40:00,NA,"S12000049","S12000049","A",NA,"Single carriageway",30,"Other junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Control by other authorised person","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining no high winds","Wet or damp","None","Other object on road","Urban","No","Data missing or out of range","-1",2022-01-07 16:40:00
"2022991129756",2022,"991129756",308316,601701,-3.44565,55.300842,"Police Scotland","Serious",2,1,2022-01-07,"Friday",15:24:00,NA,"S12000006","S12000006","A",NA,"Single carriageway",60,"Crossroads","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-01-07 15:24:00
